date,open,high,low,close,volume,average,barCount
2025-02-05 09:30:00-05:00,1.35,1.38,1.35,1.37,2377.0,1.35874,4
2025-02-05 09:31:00-05:00,1.36,1.36,1.36,1.36,450.0,1.36,2
2025-02-05 09:32:00-05:00,1.36,1.36,1.36,1.36,300.0,1.36,2
2025-02-05 09:33:00-05:00,1.36,1.36,1.36,1.36,0.0,1.36,0
2025-02-05 09:34:00-05:00,1.36,1.36,1.36,1.36,0.0,1.36,0
2025-02-05 09:35:00-05:00,1.36,1.36,1.36,1.36,0.0,1.36,0
2025-02-05 09:36:00-05:00,1.36,1.36,1.36,1.36,0.0,1.36,0
2025-02-05 09:37:00-05:00,1.36,1.3699,1.33,1.33,2968.0,1.35727,5
2025-02-05 09:38:00-05:00,1.33,1.33,1.33,1.33,0.0,1.33,0
2025-02-05 09:39:00-05:00,1.33,1.33,1.33,1.33,0.0,1.33,0
2025-02-05 09:40:00-05:00,1.33,1.33,1.33,1.33,0.0,1.33,0
2025-02-05 09:41:00-05:00,1.33,1.33,1.33,1.33,168.0,1.33,1
2025-02-05 09:42:00-05:00,1.37,1.37,1.3304,1.3304,1500.0,1.35667,3
2025-02-05 09:43:00-05:00,1.3699,1.37,1.33,1.37,2518.0,1.36774,5
2025-02-05 09:44:00-05:00,1.37,1.37,1.37,1.37,353.0,1.37,1
2025-02-05 09:45:00-05:00,1.37,1.3839,1.37,1.3839,639.0,1.37392,3
2025-02-05 09:46:00-05:00,1.3607,1.3607,1.33,1.33,1640.0,1.35808,2
2025-02-05 09:47:00-05:00,1.39,1.39,1.39,1.39,100.0,1.39,1
2025-02-05 09:48:00-05:00,1.39,1.39,1.39,1.39,0.0,1.39,0
2025-02-05 09:49:00-05:00,1.3889,1.3889,1.3889,1.3889,160.0,1.3889,1
2025-02-05 09:50:00-05:00,1.3889,1.3889,1.3889,1.3889,0.0,1.3889,0
2025-02-05 09:51:00-05:00,1.3889,1.3889,1.3889,1.3889,0.0,1.3889,0
2025-02-05 09:52:00-05:00,1.34,1.34,1.34,1.34,160.0,1.34,1
2025-02-05 09:53:00-05:00,1.34,1.34,1.34,1.34,0.0,1.34,0
2025-02-05 09:54:00-05:00,1.39,1.39,1.39,1.39,148.0,1.39,1
2025-02-05 09:55:00-05:00,1.36,1.3899,1.36,1.36,1500.0,1.36997,5
2025-02-05 09:56:00-05:00,1.36,1.36,1.36,1.36,0.0,1.36,0
2025-02-05 09:57:00-05:00,1.36,1.36,1.36,1.36,0.0,1.36,0
2025-02-05 09:58:00-05:00,1.37,1.37,1.37,1.37,100.0,1.37,1
2025-02-05 09:59:00-05:00,1.37,1.37,1.37,1.37,0.0,1.37,0
2025-02-05 10:00:00-05:00,1.36,1.36,1.36,1.36,100.0,1.36,1
2025-02-05 10:01:00-05:00,1.36,1.36,1.36,1.36,0.0,1.36,0
2025-02-05 10:02:00-05:00,1.36,1.36,1.36,1.36,0.0,1.36,0
2025-02-05 10:03:00-05:00,1.36,1.36,1.36,1.36,0.0,1.36,0
2025-02-05 10:04:00-05:00,1.3816,1.3816,1.3816,1.3816,100.0,1.3816,1
2025-02-05 10:05:00-05:00,1.3894,1.3894,1.3894,1.3894,100.0,1.3894,1
2025-02-05 10:06:00-05:00,1.3894,1.3894,1.3894,1.3894,0.0,1.3894,0
2025-02-05 10:07:00-05:00,1.382,1.382,1.382,1.382,100.0,1.382,1
2025-02-05 10:08:00-05:00,1.36,1.47,1.33,1.4057,81598.0,1.40727,138
2025-02-05 10:09:00-05:00,1.435,1.4599,1.39,1.42,41177.0,1.4289,73
2025-02-05 10:10:00-05:00,1.42,1.46,1.405,1.4392,11996.0,1.43419,19
2025-02-05 10:11:00-05:00,1.421,1.445,1.4,1.43,10217.0,1.42155,23
2025-02-05 10:12:00-05:00,1.43,1.49,1.43,1.49,13441.0,1.47484,31
2025-02-05 10:13:00-05:00,1.4401,1.4899,1.42,1.42,13698.0,1.46169,19
2025-02-05 10:14:00-05:00,1.45,1.45,1.39,1.39,9240.0,1.41064,22
2025-02-05 10:15:00-05:00,1.39,1.39,1.39,1.39,0.0,1.39,0
2025-02-05 10:16:00-05:00,1.39,1.39,1.39,1.39,0.0,1.39,0
2025-02-05 10:17:00-05:00,1.42,1.44,1.4,1.44,3872.0,1.40885,11
2025-02-05 10:18:00-05:00,1.47,1.48,1.47,1.48,500.0,1.478,2
2025-02-05 10:19:00-05:00,1.48,1.48,1.48,1.48,0.0,1.48,0
2025-02-05 10:20:00-05:00,1.4201,1.4499,1.4201,1.4499,200.0,1.435,2
2025-02-05 10:21:00-05:00,1.42,1.42,1.42,1.42,174.0,1.42,1
2025-02-05 10:22:00-05:00,1.42,1.42,1.42,1.42,0.0,1.42,0
2025-02-05 10:23:00-05:00,1.425,1.45,1.4026,1.4026,5581.0,1.42372,10
2025-02-05 10:24:00-05:00,1.4202,1.44,1.42,1.44,4908.0,1.43637,4
2025-02-05 10:25:00-05:00,1.4599,1.4599,1.4599,1.4599,100.0,1.4599,1
2025-02-05 10:26:00-05:00,1.4384,1.4384,1.4384,1.4384,500.0,1.4384,1
