date,open,high,low,close,volume,average,barCount
2025-02-06 09:30:00-05:00,7.8,8.13,7.8,8.12,2450.0,7.933,6
2025-02-06 09:31:00-05:00,8.12,8.12,8.12,8.12,0.0,8.12,0
2025-02-06 09:32:00-05:00,8.0,8.12,7.8,7.99,843.0,7.962,6
2025-02-06 09:33:00-05:00,8.1,8.1,7.7,7.7,2914.0,7.825,5
2025-02-06 09:34:00-05:00,8.07,8.08,8.03,8.03,1030.0,8.068,2
2025-02-06 09:35:00-05:00,7.87,7.87,7.87,7.87,500.0,7.87,1
2025-02-06 09:36:00-05:00,7.7,7.7,7.7,7.7,100.0,7.7,1
2025-02-06 09:37:00-05:00,7.7,7.7,7.7,7.7,282.0,7.7,2
2025-02-06 09:38:00-05:00,7.7,7.7,7.7,7.7,0.0,7.7,0
2025-02-06 09:39:00-05:00,7.7,7.7,7.7,7.7,0.0,7.7,0
2025-02-06 09:40:00-05:00,7.75,7.75,7.5,7.75,902.0,7.666,4
2025-02-06 09:41:00-05:00,7.5,7.5,7.0,7.0,3305.0,7.212,18
2025-02-06 09:42:00-05:00,6.93,7.0,6.9,7.0,5958.0,6.986,10
2025-02-06 09:43:00-05:00,7.47,7.48,7.01,7.48,2127.0,7.142,9
2025-02-06 09:44:00-05:00,7.16,7.25,7.1,7.25,800.0,7.208,7
2025-02-06 09:45:00-05:00,7.25,7.95,7.13,7.95,2506.0,7.561,16
2025-02-06 09:46:00-05:00,7.34,7.34,7.33,7.34,195.0,7.338,1
2025-02-06 09:47:00-05:00,7.34,7.34,7.34,7.34,0.0,7.34,0
2025-02-06 09:48:00-05:00,7.34,7.34,7.34,7.34,0.0,7.34,0
2025-02-06 09:49:00-05:00,7.89,7.89,7.89,7.89,132.0,7.89,1
2025-02-06 09:50:00-05:00,7.9,7.9,7.7,7.7,251.0,7.82,2
2025-02-06 09:51:00-05:00,7.7,7.7,7.7,7.7,0.0,7.7,0
2025-02-06 09:52:00-05:00,7.76,7.76,7.75,7.76,505.0,7.755,2
2025-02-06 09:53:00-05:00,7.76,7.76,7.76,7.76,0.0,7.76,0
2025-02-06 09:54:00-05:00,7.76,8.0,7.75,8.0,1166.0,7.979,2
2025-02-06 09:55:00-05:00,8.0,8.0,8.0,8.0,0.0,8.0,0
2025-02-06 09:56:00-05:00,7.75,7.86,7.75,7.85,283.0,7.799,2
2025-02-06 09:57:00-05:00,7.85,7.85,7.85,7.85,0.0,7.85,0
2025-02-06 09:58:00-05:00,7.78,7.78,7.55,7.55,320.0,7.705,3
2025-02-06 09:59:00-05:00,7.5,7.51,7.5,7.5,588.0,7.5,1
2025-02-06 10:00:00-05:00,7.88,7.88,7.87,7.88,330.0,7.875,1
2025-02-06 10:01:00-05:00,7.8,7.8,7.8,7.8,600.0,7.8,1
2025-02-06 10:02:00-05:00,7.63,7.63,7.5,7.51,1379.0,7.511,6
2025-02-06 10:03:00-05:00,7.23,7.5,7.13,7.5,4216.0,7.262,14
2025-02-06 10:04:00-05:00,7.5,7.5,7.5,7.5,0.0,7.5,0
2025-02-06 10:05:00-05:00,7.35,7.35,7.35,7.35,300.0,7.35,1
2025-02-06 10:06:00-05:00,7.35,7.35,7.35,7.35,0.0,7.35,0
2025-02-06 10:07:00-05:00,7.21,7.21,7.2,7.2,793.0,7.207,2
2025-02-06 10:08:00-05:00,7.14,7.16,7.14,7.15,919.0,7.145,3
2025-02-06 10:09:00-05:00,7.15,7.15,7.15,7.15,0.0,7.15,0
2025-02-06 10:10:00-05:00,7.15,7.15,7.15,7.15,0.0,7.15,0
2025-02-06 10:11:00-05:00,7.35,7.35,7.34,7.35,175.0,7.348,1
2025-02-06 10:12:00-05:00,7.35,7.35,7.35,7.35,0.0,7.35,0
2025-02-06 10:13:00-05:00,7.35,7.35,7.35,7.35,0.0,7.35,0
2025-02-06 10:14:00-05:00,7.25,7.25,7.25,7.25,500.0,7.25,3
2025-02-06 10:15:00-05:00,7.24,7.26,7.24,7.26,250.0,7.252,2
2025-02-06 10:16:00-05:00,7.2,7.35,7.2,7.35,437.0,7.247,2
2025-02-06 10:17:00-05:00,7.35,7.35,7.35,7.35,0.0,7.35,0
2025-02-06 10:18:00-05:00,7.35,7.35,7.35,7.35,0.0,7.35,0
2025-02-06 10:19:00-05:00,7.15,7.18,7.1,7.1,1812.0,7.139,11
2025-02-06 10:20:00-05:00,7.1,7.1,7.1,7.1,0.0,7.1,0
2025-02-06 10:21:00-05:00,7.1,7.1,7.1,7.1,0.0,7.1,0
2025-02-06 10:22:00-05:00,7.5,7.5,7.5,7.5,100.0,7.5,1
2025-02-06 10:23:00-05:00,7.27,7.31,7.27,7.31,400.0,7.28,4
2025-02-06 10:24:00-05:00,7.31,7.31,7.31,7.31,0.0,7.31,0
2025-02-06 10:25:00-05:00,7.31,7.31,7.31,7.31,0.0,7.31,0
2025-02-06 10:26:00-05:00,7.5,7.5,7.5,7.5,100.0,7.5,1
2025-02-06 10:27:00-05:00,7.46,7.46,7.46,7.46,1110.0,7.46,1
2025-02-06 10:28:00-05:00,7.5,7.5,7.5,7.5,271.0,7.5,2
2025-02-06 10:29:00-05:00,7.5,7.5,7.5,7.5,200.0,7.5,1
2025-02-06 10:30:00-05:00,7.5,7.5,7.5,7.5,0.0,7.5,0
2025-02-06 10:31:00-05:00,7.5,7.5,7.5,7.5,0.0,7.5,0
2025-02-06 10:32:00-05:00,7.5,7.5,7.5,7.5,0.0,7.5,0
2025-02-06 10:33:00-05:00,7.5,7.5,7.5,7.5,861.0,7.5,1
2025-02-06 10:34:00-05:00,7.5,7.5,7.5,7.5,450.0,7.5,1
2025-02-06 10:35:00-05:00,7.5,7.5,7.5,7.5,0.0,7.5,0
2025-02-06 10:36:00-05:00,7.5,7.5,7.5,7.5,0.0,7.5,0
2025-02-06 10:37:00-05:00,7.5,7.5,7.5,7.5,0.0,7.5,0
2025-02-06 10:38:00-05:00,7.87,7.87,7.8,7.8,1256.0,7.833,7
2025-02-06 10:39:00-05:00,7.8,7.8,7.8,7.8,0.0,7.8,0
2025-02-06 10:40:00-05:00,7.88,7.89,7.88,7.88,115.0,7.88,1
2025-02-06 10:41:00-05:00,7.88,7.88,7.88,7.88,0.0,7.88,0
2025-02-06 10:42:00-05:00,7.88,7.88,7.88,7.88,0.0,7.88,0
2025-02-06 10:43:00-05:00,7.88,7.88,7.88,7.88,0.0,7.88,0
2025-02-06 10:44:00-05:00,7.88,7.88,7.88,7.88,0.0,7.88,0
2025-02-06 10:45:00-05:00,7.88,7.88,7.88,7.88,0.0,7.88,0
2025-02-06 10:46:00-05:00,7.88,7.88,7.88,7.88,0.0,7.88,0
2025-02-06 10:47:00-05:00,7.88,7.88,7.88,7.88,0.0,7.88,0
2025-02-06 10:48:00-05:00,7.73,7.74,7.73,7.73,150.0,7.734,1
2025-02-06 10:49:00-05:00,7.5,7.52,7.5,7.5,333.0,7.506,3
2025-02-06 10:50:00-05:00,7.5,7.5,7.5,7.5,0.0,7.5,0
2025-02-06 10:51:00-05:00,7.5,7.5,7.5,7.5,0.0,7.5,0
2025-02-06 10:52:00-05:00,7.5,7.5,7.5,7.5,0.0,7.5,0
2025-02-06 10:53:00-05:00,7.5,7.5,7.5,7.5,0.0,7.5,0
2025-02-06 10:54:00-05:00,7.5,7.5,7.5,7.5,0.0,7.5,0
2025-02-06 10:55:00-05:00,7.5,7.5,7.5,7.5,0.0,7.5,0
2025-02-06 10:56:00-05:00,7.5,7.5,7.5,7.5,0.0,7.5,0
2025-02-06 10:57:00-05:00,7.5,7.5,7.5,7.5,0.0,7.5,0
2025-02-06 10:58:00-05:00,7.5,7.5,7.5,7.5,0.0,7.5,0
2025-02-06 10:59:00-05:00,7.5,7.5,7.5,7.5,0.0,7.5,0
2025-02-06 11:00:00-05:00,7.5,7.5,7.5,7.5,0.0,7.5,0
2025-02-06 11:01:00-05:00,7.5,7.5,7.5,7.5,0.0,7.5,0
2025-02-06 11:02:00-05:00,7.5,7.5,7.5,7.5,0.0,7.5,0
2025-02-06 11:03:00-05:00,7.5,7.5,7.5,7.5,0.0,7.5,0
2025-02-06 11:04:00-05:00,7.5,7.5,7.5,7.5,0.0,7.5,0
2025-02-06 11:05:00-05:00,7.5,7.5,7.5,7.5,0.0,7.5,0
2025-02-06 11:06:00-05:00,7.5,7.5,7.5,7.5,0.0,7.5,0
2025-02-06 11:07:00-05:00,7.5,7.5,7.5,7.5,0.0,7.5,0
2025-02-06 11:08:00-05:00,7.5,7.5,7.5,7.5,0.0,7.5,0
2025-02-06 11:09:00-05:00,7.5,7.5,7.5,7.5,0.0,7.5,0
2025-02-06 11:10:00-05:00,7.5,7.5,7.5,7.5,0.0,7.5,0
2025-02-06 11:11:00-05:00,7.5,7.5,7.5,7.5,0.0,7.5,0
