date,open,high,low,close,volume,average,barCount
2025-02-20 09:30:00-05:00,11.4,11.59,11.4,11.43,4653.0,11.427,8
2025-02-20 09:31:00-05:00,11.5,11.64,11.5,11.63,2170.0,11.514,7
2025-02-20 09:32:00-05:00,11.53,11.54,11.51,11.51,7623.0,11.528,5
2025-02-20 09:33:00-05:00,11.56,11.56,11.55,11.56,5000.0,11.556,1
2025-02-20 09:34:00-05:00,11.38,12.24,11.37,12.16,15029.0,11.953,27
2025-02-20 09:35:00-05:00,12.16,12.4,12.0,12.4,6500.0,12.144,25
2025-02-20 09:36:00-05:00,12.43,12.7,12.25,12.5,13623.0,12.492,41
2025-02-20 09:37:00-05:00,12.53,12.7,12.2,12.26,8621.0,12.403,42
2025-02-20 09:38:00-05:00,12.25,12.64,12.11,12.36,7948.0,12.393,23
2025-02-20 09:39:00-05:00,12.31,12.49,12.11,12.4,2975.0,12.312,12
2025-02-20 09:40:00-05:00,12.5,12.5,12.11,12.29,8340.0,12.217,5
2025-02-20 09:41:00-05:00,12.31,12.38,12.25,12.38,4934.0,12.281,22
2025-02-20 09:42:00-05:00,12.49,12.55,12.26,12.36,3935.0,12.413,14
2025-02-20 09:43:00-05:00,12.49,12.51,12.3,12.51,8250.0,12.456,16
2025-02-20 09:44:00-05:00,12.58,12.6,12.4,12.4,7140.0,12.479,28
2025-02-20 09:45:00-05:00,12.4,13.25,12.4,13.05,38625.0,12.881,118
2025-02-20 09:46:00-05:00,13.2,13.42,12.8,12.8,33934.0,13.186,57
2025-02-20 09:47:00-05:00,13.0,13.28,12.96,13.1,8181.0,13.148,36
2025-02-20 09:48:00-05:00,13.1,13.2,12.9,13.2,11289.0,13.057,23
2025-02-20 09:49:00-05:00,13.0,13.14,13.0,13.05,3100.0,13.063,8
2025-02-20 09:50:00-05:00,12.9,13.07,12.74,13.06,4259.0,12.939,19
2025-02-20 09:51:00-05:00,13.07,13.2,12.91,13.2,7510.0,13.058,23
2025-02-20 09:52:00-05:00,13.09,13.19,12.77,12.81,9161.0,12.892,27
2025-02-20 09:53:00-05:00,12.8,12.94,12.39,12.51,11220.0,12.608,31
2025-02-20 09:54:00-05:00,12.66,12.8,12.42,12.72,2194.0,12.663,5
2025-02-20 09:55:00-05:00,12.53,12.57,12.35,12.57,3449.0,12.457,14
2025-02-20 09:56:00-05:00,12.4,12.56,12.33,12.4,3769.0,12.43,13
2025-02-20 09:57:00-05:00,12.59,12.69,12.33,12.33,6700.0,12.518,20
2025-02-20 09:58:00-05:00,12.33,12.52,12.32,12.5,8547.0,12.403,29
2025-02-20 09:59:00-05:00,12.32,12.5,12.32,12.5,4243.0,12.413,6
2025-02-20 10:00:00-05:00,12.39,12.53,12.25,12.25,12797.0,12.423,15
2025-02-20 10:01:00-05:00,12.39,12.39,12.25,12.25,2137.0,12.262,8
2025-02-20 10:02:00-05:00,12.25,12.28,11.8,11.86,21054.0,12.139,47
2025-02-20 10:03:00-05:00,11.86,11.92,11.3,11.5,19781.0,11.673,56
2025-02-20 10:04:00-05:00,11.36,11.8,11.36,11.62,3335.0,11.537,19
2025-02-20 10:05:00-05:00,11.69,11.87,11.68,11.75,7124.0,11.784,21
2025-02-20 10:06:00-05:00,11.81,11.81,11.52,11.53,7289.0,11.707,22
2025-02-20 10:07:00-05:00,11.57,11.6,11.43,11.43,4450.0,11.544,7
2025-02-20 10:08:00-05:00,11.48,11.58,11.48,11.49,515.0,11.516,4
2025-02-20 10:09:00-05:00,11.55,11.55,11.43,11.43,1038.0,11.463,3
2025-02-20 10:10:00-05:00,11.43,11.66,11.43,11.51,850.0,11.467,4
2025-02-20 10:11:00-05:00,11.59,11.59,11.59,11.59,400.0,11.59,1
2025-02-20 10:12:00-05:00,11.63,11.64,11.43,11.43,920.0,11.456,2
2025-02-20 10:13:00-05:00,11.43,11.44,11.25,11.41,5497.0,11.373,14
2025-02-20 10:14:00-05:00,11.25,11.38,11.25,11.37,4250.0,11.29,6
2025-02-20 10:15:00-05:00,11.35,11.65,11.1,11.11,20781.0,11.243,24
2025-02-20 10:16:00-05:00,11.11,11.29,11.03,11.12,3397.0,11.119,15
2025-02-20 10:17:00-05:00,11.29,11.38,11.29,11.37,676.0,11.363,4
2025-02-20 10:18:00-05:00,11.28,11.28,11.2,11.2,7965.0,11.266,6
2025-02-20 10:19:00-05:00,11.15,11.15,11.13,11.14,623.0,11.142,3
2025-02-20 10:20:00-05:00,11.28,11.29,11.28,11.28,1500.0,11.283,1
2025-02-20 10:21:00-05:00,11.29,11.29,11.11,11.12,693.0,11.164,4
2025-02-20 10:22:00-05:00,11.11,11.12,11.11,11.11,1000.0,11.114,1
2025-02-20 10:23:00-05:00,11.31,11.4,11.11,11.25,2935.0,11.208,7
2025-02-20 10:24:00-05:00,11.18,11.3,11.18,11.21,2580.0,11.248,4
2025-02-20 10:25:00-05:00,11.21,11.44,11.21,11.44,1500.0,11.32,15
2025-02-20 10:26:00-05:00,11.44,11.84,11.43,11.51,6496.0,11.485,13
2025-02-20 10:27:00-05:00,11.6,11.8,11.49,11.49,3337.0,11.752,10
2025-02-20 10:28:00-05:00,11.46,11.46,11.46,11.46,500.0,11.46,1
2025-02-20 10:29:00-05:00,11.47,11.48,11.46,11.46,850.0,11.471,4
2025-02-20 10:30:00-05:00,11.5,11.6,11.46,11.59,1462.0,11.517,4
2025-02-20 10:31:00-05:00,11.59,11.59,11.59,11.59,0.0,11.59,0
2025-02-20 10:32:00-05:00,11.51,11.6,11.5,11.6,3223.0,11.549,6
2025-02-20 10:33:00-05:00,11.55,11.6,11.51,11.6,402.0,11.566,4
2025-02-20 10:34:00-05:00,11.48,11.48,11.48,11.48,1000.0,11.48,1
2025-02-20 10:35:00-05:00,11.53,11.53,11.52,11.53,500.0,11.525,1
