date,open,high,low,close,volume,average,barCount
2025-02-18 09:30:00-05:00,1.57,1.5855,1.56,1.5756,137160.0,1.5687,105
2025-02-18 09:31:00-05:00,1.5746,1.575,1.49,1.512,290551.0,1.52411,549
2025-02-18 09:32:00-05:00,1.515,1.57,1.51,1.5659,213519.0,1.52879,339
2025-02-18 09:33:00-05:00,1.56,1.58,1.56,1.57,37599.0,1.56633,51
2025-02-18 09:34:00-05:00,1.56,1.565,1.5246,1.53,107672.0,1.54231,241
2025-02-18 09:35:00-05:00,1.5391,1.55,1.53,1.5455,56407.0,1.53824,62
2025-02-18 09:36:00-05:00,1.55,1.56,1.5445,1.55,36837.0,1.55128,37
2025-02-18 09:37:00-05:00,1.5501,1.5777,1.54,1.57,103932.0,1.55221,115
2025-02-18 09:38:00-05:00,1.575,1.59,1.57,1.57,74493.0,1.57865,48
2025-02-18 09:39:00-05:00,1.5784,1.6,1.5733,1.595,64576.0,1.59008,80
2025-02-18 09:40:00-05:00,1.59,1.5983,1.575,1.575,20193.0,1.58832,42
2025-02-18 09:41:00-05:00,1.5745,1.5755,1.55,1.55,30174.0,1.56155,52
2025-02-18 09:42:00-05:00,1.56,1.58,1.551,1.58,57907.0,1.56943,48
2025-02-18 09:43:00-05:00,1.574,1.58,1.57,1.575,41501.0,1.57375,45
2025-02-18 09:44:00-05:00,1.5728,1.59,1.57,1.5874,24682.0,1.57941,52
2025-02-18 09:45:00-05:00,1.58,1.5899,1.5542,1.555,85111.0,1.56894,32
2025-02-18 09:46:00-05:00,1.5529,1.56,1.55,1.5592,30413.0,1.55401,24
2025-02-18 09:47:00-05:00,1.555,1.56,1.55,1.555,16540.0,1.55398,35
2025-02-18 09:48:00-05:00,1.5506,1.57,1.5506,1.565,26021.0,1.56272,33
2025-02-18 09:49:00-05:00,1.5668,1.57,1.5621,1.57,23957.0,1.56521,25
2025-02-18 09:50:00-05:00,1.57,1.58,1.57,1.575,12910.0,1.57035,19
2025-02-18 09:51:00-05:00,1.575,1.58,1.5701,1.575,19451.0,1.57373,20
2025-02-18 09:52:00-05:00,1.575,1.58,1.57,1.5701,8574.0,1.57402,8
2025-02-18 09:53:00-05:00,1.5794,1.5794,1.56,1.5672,67703.0,1.56823,64
2025-02-18 09:54:00-05:00,1.5657,1.5657,1.56,1.5601,5448.0,1.5627,11
2025-02-18 09:55:00-05:00,1.5675,1.57,1.56,1.5606,16908.0,1.566,17
2025-02-18 09:56:00-05:00,1.57,1.57,1.56,1.56,16663.0,1.56427,15
2025-02-18 09:57:00-05:00,1.565,1.57,1.56,1.5673,57899.0,1.56274,116
2025-02-18 09:58:00-05:00,1.57,1.57,1.56,1.565,16076.0,1.56383,12
2025-02-18 09:59:00-05:00,1.565,1.57,1.56,1.56,25719.0,1.56274,39
2025-02-18 10:00:00-05:00,1.565,1.5694,1.56,1.5606,9736.0,1.56668,10
2025-02-18 10:01:00-05:00,1.565,1.565,1.55,1.55,49519.0,1.55949,32
2025-02-18 10:02:00-05:00,1.55,1.5699,1.54,1.5699,49385.0,1.55205,100
2025-02-18 10:03:00-05:00,1.56,1.57,1.56,1.56,13478.0,1.56215,33
2025-02-18 10:04:00-05:00,1.5671,1.5671,1.5613,1.5614,12180.0,1.56295,6
2025-02-18 10:05:00-05:00,1.5611,1.57,1.56,1.5683,15124.0,1.56561,15
2025-02-18 10:06:00-05:00,1.56,1.565,1.56,1.5601,1066.0,1.5605,3
2025-02-18 10:07:00-05:00,1.56,1.5601,1.54,1.545,34159.0,1.55466,35
2025-02-18 10:08:00-05:00,1.5406,1.55,1.54,1.55,13286.0,1.54123,7
2025-02-18 10:09:00-05:00,1.54,1.55,1.535,1.545,89039.0,1.54082,73
2025-02-18 10:10:00-05:00,1.5402,1.545,1.535,1.535,31233.0,1.54006,47
2025-02-18 10:11:00-05:00,1.5301,1.535,1.52,1.535,173981.0,1.52524,232
