date,open,high,low,close,volume,average,barCount
2025-02-03 09:30:00-05:00,21.5,22.4,21.5,22.4,1366.0,21.747,2
2025-02-03 09:31:00-05:00,22.4,22.4,22.4,22.4,0.0,22.4,0
2025-02-03 09:32:00-05:00,22.4,22.4,22.4,22.4,0.0,22.4,0
2025-02-03 09:33:00-05:00,22.4,22.4,22.4,22.4,0.0,22.4,0
2025-02-03 09:34:00-05:00,22.03,22.31,22.03,22.31,225.0,22.186,2
2025-02-03 09:35:00-05:00,21.81,21.94,21.71,21.71,300.0,21.82,3
2025-02-03 09:36:00-05:00,21.71,21.71,21.71,21.71,0.0,21.71,0
2025-02-03 09:37:00-05:00,21.71,21.71,21.71,21.71,0.0,21.71,0
2025-02-03 09:38:00-05:00,21.71,21.71,21.71,21.71,0.0,21.71,0
2025-02-03 09:39:00-05:00,21.71,21.71,21.71,21.71,0.0,21.71,0
2025-02-03 09:40:00-05:00,21.71,21.71,21.71,21.71,0.0,21.71,0
2025-02-03 09:41:00-05:00,21.71,21.71,21.71,21.71,0.0,21.71,0
2025-02-03 09:42:00-05:00,21.71,21.71,21.71,21.71,0.0,21.71,0
2025-02-03 09:43:00-05:00,21.71,21.71,21.71,21.71,0.0,21.71,0
2025-02-03 09:44:00-05:00,21.54,21.54,21.37,21.37,429.0,21.428,3
2025-02-03 09:45:00-05:00,21.37,21.37,21.37,21.37,0.0,21.37,0
2025-02-03 09:46:00-05:00,21.37,21.37,21.37,21.37,0.0,21.37,0
2025-02-03 09:47:00-05:00,21.37,21.37,21.37,21.37,0.0,21.37,0
2025-02-03 09:48:00-05:00,20.99,21.0,20.99,20.99,125.0,20.991,1
2025-02-03 09:49:00-05:00,20.75,20.86,20.66,20.86,1050.0,20.788,5
2025-02-03 09:50:00-05:00,20.66,20.66,20.65,20.66,100.0,20.659,1
2025-02-03 09:51:00-05:00,20.66,20.66,20.66,20.66,0.0,20.66,0
2025-02-03 09:52:00-05:00,20.85,20.85,20.85,20.85,100.0,20.85,1
2025-02-03 09:53:00-05:00,20.97,20.97,20.96,20.97,110.0,20.97,1
2025-02-03 09:54:00-05:00,20.97,20.97,20.97,20.97,0.0,20.97,0
2025-02-03 09:55:00-05:00,20.94,20.94,20.93,20.94,250.0,20.939,1
2025-02-03 09:56:00-05:00,20.94,20.94,20.94,20.94,0.0,20.94,0
2025-02-03 09:57:00-05:00,20.71,20.72,20.71,20.71,300.0,20.713,1
2025-02-03 09:58:00-05:00,20.71,20.71,20.71,20.71,390.0,20.71,1
2025-02-03 09:59:00-05:00,20.71,20.71,20.71,20.71,0.0,20.71,0
2025-02-03 10:00:00-05:00,20.94,20.94,20.94,20.94,100.0,20.94,1
2025-02-03 10:01:00-05:00,20.94,20.94,20.94,20.94,0.0,20.94,0
2025-02-03 10:02:00-05:00,20.94,20.94,20.94,20.94,0.0,20.94,0
2025-02-03 10:03:00-05:00,20.94,20.94,20.94,20.94,0.0,20.94,0
2025-02-03 10:04:00-05:00,20.96,20.96,20.96,20.96,100.0,20.96,1
2025-02-03 10:05:00-05:00,20.96,20.96,20.96,20.96,0.0,20.96,0
2025-02-03 10:06:00-05:00,20.96,20.96,20.96,20.96,0.0,20.96,0
2025-02-03 10:07:00-05:00,20.8,20.84,20.71,20.84,437.0,20.789,4
2025-02-03 10:08:00-05:00,20.84,20.84,20.84,20.84,0.0,20.84,0
2025-02-03 10:09:00-05:00,20.78,20.78,20.77,20.78,116.0,20.777,1
2025-02-03 10:10:00-05:00,20.78,20.78,20.78,20.78,0.0,20.78,0
2025-02-03 10:11:00-05:00,20.78,20.78,20.78,20.78,0.0,20.78,0
2025-02-03 10:12:00-05:00,20.78,20.78,20.78,20.78,0.0,20.78,0
2025-02-03 10:13:00-05:00,20.78,20.78,20.78,20.78,0.0,20.78,0
2025-02-03 10:14:00-05:00,20.78,20.78,20.78,20.78,0.0,20.78,0
2025-02-03 10:15:00-05:00,20.78,20.78,20.78,20.78,0.0,20.78,0
2025-02-03 10:16:00-05:00,20.78,20.78,20.78,20.78,0.0,20.78,0
2025-02-03 10:17:00-05:00,20.53,20.69,20.43,20.69,1092.0,20.551,4
2025-02-03 10:18:00-05:00,20.69,20.69,20.69,20.69,0.0,20.69,0
2025-02-03 10:19:00-05:00,20.69,20.69,20.69,20.69,0.0,20.69,0
2025-02-03 10:20:00-05:00,20.69,20.69,20.69,20.69,0.0,20.69,0
2025-02-03 10:21:00-05:00,20.69,20.69,20.69,20.69,0.0,20.69,0
2025-02-03 10:22:00-05:00,20.69,20.69,20.69,20.69,0.0,20.69,0
2025-02-03 10:23:00-05:00,20.62,20.7,20.56,20.63,600.0,20.633,6
2025-02-03 10:24:00-05:00,20.63,20.63,20.63,20.63,0.0,20.63,0
2025-02-03 10:25:00-05:00,21.08,21.1,21.08,21.09,600.0,21.091,2
2025-02-03 10:26:00-05:00,21.12,21.12,21.04,21.05,698.0,21.061,2
2025-02-03 10:27:00-05:00,21.05,21.05,21.05,21.05,0.0,21.05,0
2025-02-03 10:28:00-05:00,21.05,21.05,21.05,21.05,0.0,21.05,0
2025-02-03 10:29:00-05:00,21.08,21.67,21.08,21.67,1500.0,21.264,11
2025-02-03 10:30:00-05:00,21.67,21.67,21.67,21.67,0.0,21.67,0
2025-02-03 10:31:00-05:00,21.67,21.67,21.67,21.67,0.0,21.67,0
2025-02-03 10:32:00-05:00,21.67,21.67,21.67,21.67,0.0,21.67,0
2025-02-03 10:33:00-05:00,21.67,21.67,21.67,21.67,0.0,21.67,0
2025-02-03 10:34:00-05:00,21.67,21.67,21.67,21.67,0.0,21.67,0
2025-02-03 10:35:00-05:00,21.67,21.67,21.67,21.67,0.0,21.67,0
2025-02-03 10:36:00-05:00,21.86,21.86,21.8,21.8,800.0,21.808,3
2025-02-03 10:37:00-05:00,21.8,21.8,21.8,21.8,0.0,21.8,0
2025-02-03 10:38:00-05:00,21.8,21.8,21.8,21.8,0.0,21.8,0
2025-02-03 10:39:00-05:00,21.8,21.8,21.8,21.8,0.0,21.8,0
2025-02-03 10:40:00-05:00,21.8,21.8,21.8,21.8,0.0,21.8,0
2025-02-03 10:41:00-05:00,21.8,21.8,21.8,21.8,0.0,21.8,0
2025-02-03 10:42:00-05:00,21.8,21.8,21.8,21.8,0.0,21.8,0
2025-02-03 10:43:00-05:00,21.8,21.8,21.8,21.8,0.0,21.8,0
2025-02-03 10:44:00-05:00,21.8,21.8,21.8,21.8,0.0,21.8,0
2025-02-03 10:45:00-05:00,21.8,21.8,21.8,21.8,0.0,21.8,0
2025-02-03 10:46:00-05:00,21.8,21.8,21.8,21.8,0.0,21.8,0
2025-02-03 10:47:00-05:00,21.8,21.8,21.8,21.8,0.0,21.8,0
2025-02-03 10:48:00-05:00,21.8,21.8,21.8,21.8,0.0,21.8,0
2025-02-03 10:49:00-05:00,21.8,21.8,21.8,21.8,0.0,21.8,0
2025-02-03 10:50:00-05:00,21.8,21.8,21.8,21.8,0.0,21.8,0
2025-02-03 10:51:00-05:00,21.8,21.8,21.8,21.8,0.0,21.8,0
2025-02-03 10:52:00-05:00,21.8,21.8,21.8,21.8,0.0,21.8,0
2025-02-03 10:53:00-05:00,21.8,21.8,21.8,21.8,0.0,21.8,0
2025-02-03 10:54:00-05:00,21.8,21.8,21.8,21.8,0.0,21.8,0
2025-02-03 10:55:00-05:00,21.37,21.37,21.37,21.37,100.0,21.37,1
