date,open,high,low,close,volume,average,barCount
2025-02-21 09:30:00-05:00,1.65,1.65,1.65,1.65,1899.0,1.65,1
2025-02-21 09:31:00-05:00,1.65,1.65,1.65,1.65,0.0,1.65,0
2025-02-21 09:32:00-05:00,1.682,1.682,1.6647,1.6647,1127.0,1.68005,2
2025-02-21 09:33:00-05:00,1.6647,1.6647,1.6647,1.6647,0.0,1.6647,0
2025-02-21 09:34:00-05:00,1.6868,1.6868,1.6868,1.6868,100.0,1.6868,1
2025-02-21 09:35:00-05:00,1.67,1.6899,1.66,1.6899,2590.0,1.6788,3
2025-02-21 09:36:00-05:00,1.6899,1.6899,1.6899,1.6899,0.0,1.6899,0
2025-02-21 09:37:00-05:00,1.6899,1.6899,1.6899,1.6899,0.0,1.6899,0
2025-02-21 09:38:00-05:00,1.66,1.66,1.66,1.66,140.0,1.66,1
2025-02-21 09:39:00-05:00,1.66,1.66,1.66,1.66,0.0,1.66,0
2025-02-21 09:40:00-05:00,1.66,1.66,1.66,1.66,0.0,1.66,0
2025-02-21 09:41:00-05:00,1.65,1.65,1.65,1.65,100.0,1.65,1
2025-02-21 09:42:00-05:00,1.65,1.65,1.65,1.65,0.0,1.65,0
2025-02-21 09:43:00-05:00,1.65,1.6591,1.65,1.6591,300.0,1.65303,2
2025-02-21 09:44:00-05:00,1.6591,1.6591,1.6591,1.6591,0.0,1.6591,0
2025-02-21 09:45:00-05:00,1.65,1.65,1.65,1.65,300.0,1.65,2
2025-02-21 09:46:00-05:00,1.65,1.65,1.65,1.65,0.0,1.65,0
2025-02-21 09:47:00-05:00,1.6599,1.6599,1.6599,1.6599,300.0,1.6599,1
2025-02-21 09:48:00-05:00,1.6599,1.6599,1.6599,1.6599,0.0,1.6599,0
2025-02-21 09:49:00-05:00,1.6599,1.6599,1.6599,1.6599,0.0,1.6599,0
2025-02-21 09:50:00-05:00,1.65,1.65,1.65,1.65,300.0,1.65,1
2025-02-21 09:51:00-05:00,1.65,1.65,1.65,1.65,100.0,1.65,1
2025-02-21 09:52:00-05:00,1.65,1.65,1.65,1.65,0.0,1.65,0
2025-02-21 09:53:00-05:00,1.659,1.659,1.65,1.65,754.0,1.65119,2
2025-02-21 09:54:00-05:00,1.65,1.65,1.65,1.65,0.0,1.65,0
2025-02-21 09:55:00-05:00,1.65,1.65,1.65,1.65,0.0,1.65,0
2025-02-21 09:56:00-05:00,1.65,1.65,1.65,1.65,0.0,1.65,0
2025-02-21 09:57:00-05:00,1.6594,1.6594,1.659,1.659,2530.0,1.65902,3
2025-02-21 09:58:00-05:00,1.659,1.659,1.659,1.659,0.0,1.659,0
2025-02-21 09:59:00-05:00,1.659,1.659,1.659,1.659,0.0,1.659,0
