2025-02-25 12:52:00,984 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-30 15:54:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:01,141 - src.tradelab.data.fetcher - WARNING - Found gaps in data:
2025-02-25 12:52:01,141 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-31 10:08:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:01,142 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-31 10:49:00-05:00, duration: 0 days 00:41:00
2025-02-25 12:52:01,142 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-31 11:00:00-05:00, duration: 0 days 00:11:00
2025-02-25 12:52:01,142 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-31 11:39:00-05:00, duration: 0 days 00:38:00
2025-02-25 12:52:01,143 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-31 11:43:00-05:00, duration: 0 days 00:04:00
2025-02-25 12:52:01,143 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-31 11:46:00-05:00, duration: 0 days 00:03:00
2025-02-25 12:52:01,143 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-31 13:04:00-05:00, duration: 0 days 01:18:00
2025-02-25 12:52:01,143 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-31 13:35:00-05:00, duration: 0 days 00:31:00
2025-02-25 12:52:01,143 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-31 13:39:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:01,143 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-31 13:41:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:01,143 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-31 13:44:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:01,144 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-31 13:51:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:01,144 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-31 13:57:00-05:00, duration: 0 days 00:06:00
2025-02-25 12:52:01,144 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-31 14:00:00-05:00, duration: 0 days 00:03:00
2025-02-25 12:52:01,144 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-31 14:20:00-05:00, duration: 0 days 00:20:00
2025-02-25 12:52:01,144 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-31 14:23:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:01,145 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-31 15:53:00-05:00, duration: 0 days 01:30:00
2025-02-25 12:52:01,146 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-31 15:59:00-05:00, duration: 0 days 00:06:00
2025-02-25 12:52:01,288 - src.tradelab.data.fetcher - WARNING - Found gaps in data:
2025-02-25 12:52:01,288 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-03 09:39:00-05:00, duration: 0 days 00:09:00
2025-02-25 12:52:01,289 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-03 09:55:00-05:00, duration: 0 days 00:16:00
2025-02-25 12:52:01,290 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-03 10:14:00-05:00, duration: 0 days 00:19:00
2025-02-25 12:52:01,290 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-03 10:49:00-05:00, duration: 0 days 00:35:00
2025-02-25 12:52:01,290 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-03 11:37:00-05:00, duration: 0 days 00:48:00
2025-02-25 12:52:01,290 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-03 13:39:00-05:00, duration: 0 days 02:02:00
2025-02-25 12:52:01,290 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-03 14:40:00-05:00, duration: 0 days 01:01:00
2025-02-25 12:52:01,291 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-03 15:04:00-05:00, duration: 0 days 00:24:00
2025-02-25 12:52:01,291 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-03 15:49:00-05:00, duration: 0 days 00:45:00
2025-02-25 12:52:01,417 - src.tradelab.data.fetcher - WARNING - Found gaps in data:
2025-02-25 12:52:01,417 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-04 10:02:00-05:00, duration: 0 days 00:32:00
2025-02-25 12:52:01,418 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-04 10:11:00-05:00, duration: 0 days 00:09:00
2025-02-25 12:52:01,418 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-04 10:30:00-05:00, duration: 0 days 00:19:00
2025-02-25 12:52:01,418 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-04 11:48:00-05:00, duration: 0 days 01:18:00
2025-02-25 12:52:01,419 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-04 12:00:00-05:00, duration: 0 days 00:12:00
2025-02-25 12:52:01,419 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-04 12:02:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:01,419 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-04 12:41:00-05:00, duration: 0 days 00:38:00
2025-02-25 12:52:01,419 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-04 13:20:00-05:00, duration: 0 days 00:39:00
2025-02-25 12:52:01,419 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-04 14:26:00-05:00, duration: 0 days 01:06:00
2025-02-25 12:52:01,420 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-04 14:33:00-05:00, duration: 0 days 00:07:00
2025-02-25 12:52:01,420 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-04 15:12:00-05:00, duration: 0 days 00:39:00
2025-02-25 12:52:01,420 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-04 15:28:00-05:00, duration: 0 days 00:16:00
2025-02-25 12:52:01,421 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-04 15:57:00-05:00, duration: 0 days 00:29:00
2025-02-25 12:52:01,421 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-04 15:59:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:01,557 - src.tradelab.data.fetcher - WARNING - Found gaps in data:
2025-02-25 12:52:01,558 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-05 13:42:00-05:00, duration: 0 days 04:03:00
2025-02-25 12:52:01,558 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-05 15:53:00-05:00, duration: 0 days 02:11:00
2025-02-25 12:52:01,558 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-05 15:57:00-05:00, duration: 0 days 00:03:00
2025-02-25 12:52:01,712 - src.tradelab.data.fetcher - WARNING - Found gaps in data:
2025-02-25 12:52:01,712 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-06 11:38:00-05:00, duration: 0 days 00:32:00
2025-02-25 12:52:01,713 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-06 11:49:00-05:00, duration: 0 days 00:11:00
2025-02-25 12:52:01,713 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-06 11:53:00-05:00, duration: 0 days 00:04:00
2025-02-25 12:52:01,713 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-06 14:29:00-05:00, duration: 0 days 02:36:00
2025-02-25 12:52:01,713 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-06 14:47:00-05:00, duration: 0 days 00:18:00
2025-02-25 12:52:01,713 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-06 14:51:00-05:00, duration: 0 days 00:04:00
2025-02-25 12:52:01,713 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-06 15:49:00-05:00, duration: 0 days 00:58:00
2025-02-25 12:52:01,713 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-06 15:57:00-05:00, duration: 0 days 00:08:00
2025-02-25 12:52:01,713 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-06 15:59:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:01,844 - src.tradelab.data.fetcher - WARNING - Found gaps in data:
2025-02-25 12:52:01,844 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-07 10:51:00-05:00, duration: 0 days 00:50:00
2025-02-25 12:52:01,845 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-07 12:10:00-05:00, duration: 0 days 01:19:00
2025-02-25 12:52:01,845 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-07 12:32:00-05:00, duration: 0 days 00:22:00
2025-02-25 12:52:01,846 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-07 12:42:00-05:00, duration: 0 days 00:10:00
2025-02-25 12:52:01,846 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-07 13:49:00-05:00, duration: 0 days 01:07:00
2025-02-25 12:52:01,847 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-07 14:05:00-05:00, duration: 0 days 00:16:00
2025-02-25 12:52:01,847 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-07 15:56:00-05:00, duration: 0 days 01:51:00
2025-02-25 12:52:01,988 - src.tradelab.data.fetcher - WARNING - Found gaps in data:
2025-02-25 12:52:01,989 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-10 11:52:00-05:00, duration: 0 days 02:22:00
2025-02-25 12:52:01,989 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-10 12:40:00-05:00, duration: 0 days 00:48:00
2025-02-25 12:52:01,989 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-10 12:43:00-05:00, duration: 0 days 00:03:00
2025-02-25 12:52:01,989 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-10 12:53:00-05:00, duration: 0 days 00:10:00
2025-02-25 12:52:01,990 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-10 13:23:00-05:00, duration: 0 days 00:30:00
2025-02-25 12:52:01,990 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-10 13:39:00-05:00, duration: 0 days 00:16:00
2025-02-25 12:52:01,990 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-10 14:04:00-05:00, duration: 0 days 00:25:00
2025-02-25 12:52:01,990 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-10 14:19:00-05:00, duration: 0 days 00:15:00
2025-02-25 12:52:01,990 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-10 15:49:00-05:00, duration: 0 days 01:30:00
2025-02-25 12:52:02,127 - src.tradelab.data.fetcher - WARNING - Found gaps in data:
2025-02-25 12:52:02,127 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-11 11:14:00-05:00, duration: 0 days 01:44:00
2025-02-25 12:52:02,128 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-11 12:08:00-05:00, duration: 0 days 00:54:00
2025-02-25 12:52:02,128 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-11 12:47:00-05:00, duration: 0 days 00:39:00
2025-02-25 12:52:02,129 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-11 13:40:00-05:00, duration: 0 days 00:53:00
2025-02-25 12:52:02,129 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-11 14:13:00-05:00, duration: 0 days 00:33:00
2025-02-25 12:52:02,130 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-11 15:09:00-05:00, duration: 0 days 00:56:00
2025-02-25 12:52:02,259 - src.tradelab.data.fetcher - WARNING - Found gaps in data:
2025-02-25 12:52:02,259 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-12 11:34:00-05:00, duration: 0 days 01:54:00
2025-02-25 12:52:02,260 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-12 12:13:00-05:00, duration: 0 days 00:39:00
2025-02-25 12:52:02,260 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-12 12:27:00-05:00, duration: 0 days 00:14:00
2025-02-25 12:52:02,260 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-12 13:05:00-05:00, duration: 0 days 00:38:00
2025-02-25 12:52:02,260 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-12 13:10:00-05:00, duration: 0 days 00:05:00
2025-02-25 12:52:02,261 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-12 13:13:00-05:00, duration: 0 days 00:03:00
2025-02-25 12:52:02,261 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-12 14:27:00-05:00, duration: 0 days 01:14:00
2025-02-25 12:52:02,261 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-12 15:30:00-05:00, duration: 0 days 01:03:00
2025-02-25 12:52:02,261 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-12 15:57:00-05:00, duration: 0 days 00:27:00
2025-02-25 12:52:02,408 - src.tradelab.data.fetcher - WARNING - Found gaps in data:
2025-02-25 12:52:02,409 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 10:16:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:02,409 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 10:18:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:02,409 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 10:20:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:02,410 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 10:38:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:02,410 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 10:45:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:02,410 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 10:50:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:02,410 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 10:59:00-05:00, duration: 0 days 00:02:00
